
Copyright 2016 Prifysgol Bangor University

   Licensed under the Apache License, Version 2.0 (the "License");
   you may not use this file except in compliance with the License.
   You may obtain a copy of the License at

       http://www.apache.org/licenses/LICENSE-2.0

   Unless required by applicable law or agreed to in writing, software
   distributed under the License is distributed on an "AS IS" BASIS,
   WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
   See the License for the specific language governing permissions and
   limitations under the License.

'C' / 'S' scroll	sgrôl 'C' / 'S'
metropolitan	metropolitan
mettle	calon
mettle	ysbryd
mettlesome	calonnog
mettlesome	ysbrydol
mew	gwylan
mew	mewian
mews	ystablau
mezzanine	lloft ganol
mezzo-soprano	mezzo-soprano
mezzo-soprano clef	cleff mezzo-soprano
mezzotint	mesotint
miasma	drewdod
mica	mica
mica	mica
mica flake	fflaw mica
mice	meis
micella	micela
micelle	misel
micro	micro
micro	micro-
micro computer	microgyfrifiadur
micro-biology	microbioleg
micro-circuit	microgylched
micro-crystalline	microgrisialog
micro-crystalline wax	cwyr microgrisialog
micro-economics	micro-economeg
micro-image	microddelwedd
micro-organism	micro-organeb
micro-organism	micro-organedd
micro-programming	microraglennu
micro-technology	microdechnoleg
microbe	microb
microbe	microb
microbial fermentation	eplesiad microbaidd
microbiologist	microbiolegydd
microbiology	microbioleg
microburin	microbwyntil
microcard	microgerdyn
microcard	microgerdyn
microchip	microsglodyn
microchip	microsglodyn
microcircuit	microgylched
microclimate	microhinsawdd
microclimate	microhinsawdd
microclimatology	microhinsoddeg
microcode	microgod
microcode	microgod
microcomputer	microgyfrifiadur
microcomputer	microgyfrifiadur
microcosm	microcosm
microelectronics	micro-electroneg
microelectronics	microelectroneg
microfarad	microffarad
microfauna	milionos
microffibril	microffibrolyn
microfiche	microffish
microfilm	microffilm
microfilm	microffilm
microhabitat	microgynefin
microhm	microhm
microlith	microlith
microlith	microlith
micrometer	micromedr
micrometer	micromedr
micrometer parts	rhannau micromedr
micrometer reading	darlleniad micromedr
micrometre	micrometr
micron	micron
micron	micron
micronucleus	microcnewyllyn
micronucleus	microniwclews
micronutrient	microfaethyn
microphone	meic
microphone	meicroffon
microphone	microffon
microphone	microffon
microprocessor	microbrosesydd
microprocessor	microbrosesydd
microprocessor control	rheolaeth microbrosesydd
microprogramming	microraglennu
micropyle	micropyl
micropyle	micropyl
microscope	microsgop
microscope	microsgop
microscopic	microsgopig
microscopic	microsgopig
microscopically small	microsgopig o fach
microscopy	microsgopeg
microscopy	microsgopeg
microsecond	microeiliad
microsecond	microeiliad
microsome	microsom
microspore	microsbor
microspore	microsbor
microsporophyll	microsboroffyl
microsporophyll	microsboroffyl
microswitch	microswitsh
microtechnology	microdechnoleg
microtherm	microtherm
microtherm	microtherm
microtome	microtom
microtonal	microtonawl
microtonality	microtonyddiaeth
microtone	micro-dôn
microtone	microtôn
microtubule	microdiwbyn
microvillus	microfilws
microwave	micro-don
microwave	microdon
microworld	microfyd
micturate	piso
micturate	troethi
micturate	troethi
micturition	troethiad
micturition	troethiad
micturition reflexes	atgyrchion troethi
mid	canol
mid blue	glas canol
mid brown	brown canol
mid cadmium yellow	melyn cadmiwm canol
mid cadmium yellow	melyn cadmiwm canol
mid chrome yellow	melyn crôm canol
mid chrome yellow	melyn crôm canol
mid off	canolwr agored
mid on	canolwr coes
mid shot [MS]	saethiad canolig [SC]
mid wicket	canol wiced
mid-brain	ymennydd canol
mid-country	cefn gwlad
mid-feather	slip rhannu
mid-latitudes	lledredau canol
mid-latitudes	lledredau canol
mid-line	llinell ganol
mid-ordinate	mesuryn canol
mid-ordinate rule	dull y mesuryn canol
mid-point	canolbwynt
mid-west	gorllewin canol
midbrain	ymennydd canol
midday	canol dydd
midday	hanner dydd
middle	canol
middle	canol
middle C	C ganol
middle childhood	plentyndod canol
middle class	dosbarth canol
middle class	dosbarth canol
middle cut file	ffeil orfras
middle cut file	ffeil orfras
middle distance	pellter
middle distance	pellter canol
middle distance runner	rhedwr pellter canol
middle ear	clust ganol
middle ear	clust ganol
middle lamella	lamela canol
middle lamella	lamela ganol
middle man's knot	cwlwm canolwr
middle oil	olew canol
middle passage	mordaith ganol
middle peneplain	lledwastad canol
middle price	pris canol
middle rail	rheilen ganol
middle register	nodau canol
middle school	ysgol ganol
middle school	ysgol ganol
middle shore	traeth canol
middle stump	stwmp canol
middle stump	stwmp canol
middle tuit	tuit canol
middle weight	pwysau canol
middle weight	pwysau canol
middleman	canolwr
middleman	dyn canol
middleman	dyn canol
middleman	rhyngfasnachwr
middleman's knot	cwlwm canolwr
middling	canolig
middling	cymedrol
middling	gweddol
middling	symol
midfield	canol cae
midge	gwybedyn
midget	corrach
midget state	corwlad
midget state	corwlad
midland	canolbarth
midland	canoldir
midland	canoldirol
midnight	canol nos
midnight	hanner nos
midrib	asen ganol
midrib	gwythïen ganol
midriff	llengig
midshipman	canol-longwr
midst	canol
midst	mysg
midst	plith
midst	rhwng
midsummer	canol haf
midterm break	gwyliau hanner tymor
midway	hanner y ffordd
midway-upward	hanner ffordd
midway-upwards	hanner ffordd i fyny
midwife	bydwraig
midwife	bydwraig
midwifery	bydwreigiaeth
midwifery	gwaith bydwraig
midwinter	canol gaeaf
mien	golwg
mien	gwedd
mien	pryd
mig welding	weldio mig
might	gallu
might	grym
might	nerth
might and main	cymaint ag sy'n bosib
might and main	i'r eithaf
mighty	cadarn
mighty	grymus
mighty	nerthol
migraine	meigryn
migrant	crwydrol
migrant	mudwr
migrant	ymfudol
migrant	ymfudwr
migrant labour	llafur mudol
migrate	mudo
migrate	mudo
migrate	ymfudo
migration	mudiad
migration	mudiad
migration	mudo
migration	ymfudiad
migratory	mudol
migratory	mudol
migratory	ymfudol
milch	blith
milch	llaethog
mild	gwan
mild	hynaws
mild	meddal
mild	mwyn
mild	mwyn
mild	tyner
mild	ysgafn
mild disability	anabledd ysgafn
mild hardwood	pren lled galed
mild learning disability	anabledd dysgu ysgafn
mild steel	dur meddal
mildew	llwydi
mildew	llwydni
mildew	llwydni
mildew	llwydo
mildew resistant	gwrthlwydni
mildness	mwynder
mildness	tiriondeb
mildness	tynerwch
mile	milltir
mile	milltir
mile castle	caer filltir
mile post	postyn milltir
mile race	ras filltir
mile race	ras filltir
mile stone	carreg filltir
mileage	milltiredd
mileage allowance	lwfans milltiredd
mileage allowance	lwfans yn ôl y filltir
milepost	postyn milltir
milestone	carreg filltir
milestone	carreg filltir
milestone ritual	defod carreg filltir
milieu	amgylchfyd
milieu	cefndir
milieu	cynefin
militant	milwriaethus
militant	milwriaethus
militarism	militariaeth
militarism	militariaeth
militarist	militarydd
militarist	militarydd
military	milwrol
military	milwrol
military architecture	pensaernïaeth filwrol
military band	seindorf filwrol
military base	canolfan filwrol
military history	hanes milwrol
military history	hanes milwrol
military service	gwasanaeth milwrol
militate	milwrio
militia	milisia
militia	milisia
milium	miliwm
milk	godro
milk	godro
milk	llaeth
milk	llaeth
milk	llefrith
milk and dairy foods	llaeth a bwydydd llaeth
milk carton	carton llaeth
milk dry	godro'n sych
milk float	fflôt laeth
milk intolerance	anoddefedd llaeth
milk products	cynnyrch llaeth
milk shake	ysgytlaeth
milk teeth	dannedd sugno
milk the audience	godro'r gynulleidfa
milk tooth	dant sugno
milking	godro
milking machine	peiriant godro
milkmaid	llaethferch
milkman	dyn llaeth
milky	cymylog
milky	llaethog
milky	llaethog
milky suspension	daliant llaethog
mill	ffatri
mill	malu
mill	melin
mill	melin
mill	melino
mill flour	malu blawd
mill race	ffrwd melin
mill-pond	pwll melin
mill-race	cafn melin
mill-race	ffrwd melin
mill-race	pynfarch
millboard	bwrdd melin
millboard	bwrdd melin
millboard	gludfwrdd
millenarianism	milflwyddiaeth
millenarianism	milflwyddiaeth
millenial	milflynyddol
millenium	mileniwm
millennium	mileniwm
millennium	milflwyddiant
miller	melinydd
miller	melinydd
millet	miled
millet	milet
milliard	milfiliwn
millibar	milibar
millibar	milibar
millilitre	mililitr
millilitre	mililitr
millimetre	milimedr
millimetre	milimetr
milliner	gwerthwr hetiau
milliner	hetiwr
milling	melino
milling cutter	melinwr
milling cutter	melinwr
milling machine	peiriant melino
milling-machine	peiriant melino
million	miliwn
million	miliwn
million city	dinas filiwn
million city	dinas filiwn
millionaire	miliwnydd
millionth	miliynfed
millipede	neidr filtroed
millstone	maen melin
millstone grit	grut melinfaen
millwork	melinwaith
mime	meim
mime	meimio
mimesis	mimesis
mimetic	dynwaredol
mimic	dynwared
mimic	dynwaredwr
mimicry	dynwarededd
mimicry	dynwarededd
minaret	meindwr
minaret	minarét
mince	briwgig
mince	briwio
mince	malu
mince pie	tarten Nadolig
mince pie	teisen friwdda
mincemeat	briwfwyd
mincemeat	brwgig
mincer	briwell
mind	barn
mind	bryd
mind	bwriad
mind	gofalu
mind	gwylio
mind	meddwl
mind	meddwl, y meddwl
mind	tyb
mind map	map meddwl
mind the step	gwyliwch y gris
mind-body relationship	perthynas meddwl-corff
minded	chwannog
minded	tueddol
minder	gofalwr
minder	gofalwraig
minder	gwarchodwr
minder	gwarchodwraig
mindful	gofalus
mindful	ystyriol
mine	ffrwydryn
mine	ffrwydryn
mine	fy
mine	glofa
mine	mwynfa
mine	mwynglawdd
mine	mwyngloddio
mine	mwyngloddio
mine	pwll glo
mine	tanseilio
mine	yr eiddof i
mine-sweeper	llong ysgubo ffrwydron
minelayer	llong osod ffrwydrynnau
miner	glöwr
miner	glöwr
miner	mwynwr
miner	mwynwr
miner's cramp	cramp y mwynwr
mineral	mwyn
mineral	mwyn
mineral	mwynol
mineral drink	diod mwynol
mineral oil	olew mwynol
mineral origin	tarddiad mwynol
mineral railway	rheilffordd fwynau
mineral railway	rheilffordd fwynau
mineral resources	adnoddau mwynol
mineral salts	halwynau mwynol
mineral salts	halwynau mwynol
mineral water	dŵr mwynol
mineral water	dŵr mwynol
mineralization	mwyneiddiad
mineralogy	mwynoleg
mineralogy	mwynoleg
mineralogy	mwynyddiaeth
minesweeper	llong glirio ffrwydrynnau
mingle	cymysgu
mingy	crintachlyd
mingy	cybyddlyd
mini	bychan
mini	mini
mini	mini
mini-enterprise	mini-menter
mini-floppy disk	disg hyblyg bychan
mini-floppy disk	disg lipa fechan
mini-floppy disk	disg llipa bychan
mini-project	mini-project
miniature	ar raddfa fach
miniature	miniatur
miniature	model
miniature camera	camera mini
miniature painting	mân-ddarlun
miniature painting	mân-ddarlunio
miniature painting	paentio miniatur
miniature painting	peintio miniatur
miniature railway	lein fach
miniature score	sgôr boced
minicomputer	minigyfrifiadur
minicomputer	minigyfrifiadur
minim	minim
minimal	minimal
minimal	minimol
minimalism	minimaliaeth
minimalist	minimalaidd
minimalist	minimalydd
minimise	isafu
minimize	isafu
minimize	lleiafsymio
minimize	lleiafu
minimize	lleihau
minimize	lleihau
minimize	minimeiddio
minimize all	lleihau popeth
minimize all windows	lleihau pob ffenestr
minimize conflict	lleiafu gwrthdaro
minimize risk	lleiafu risg
minimize window	lleihau ffenestr
minimum	isafbwynt
minimum	isafbwynt
minimum	isafrif
minimum	isafswm
minimum	isafswm
minimum	lleiaf
minimum	lleiafswm
minimum agitation	cynnwrf byrraf
minimum care	lledofal
minimum care fabric	ffabrig gofal lleiaf
minimum care fabrics	ffabrigau gofal lleiaf
minimum change	newid lleiaf
minimum installation	gosodiad lleiaf
minimum iron	smwddio ysgafn
minimum length	hyd lleiaf
minimum size	maint lleiaf
minimum spacing	bylchiad lleiaf
minimum temperature	isafbwynt tymheredd
minimum temperature	tymheredd isaf
minimum temperature	tymheredd isafbwynt
minimum thermometer	thermomedr isafbwynt
minimum wage	cyflog lleiafswm
minimum wage	isafswm cyflog
mining	mwyngloddiaeth
mining	mwyngloddio
mining industry	diwydiant mwyngloddio
minister	gweini
minister	gweinidog
minister	gweinidog
minister	gweinidogaethu
minister of public enlightenment and propaganda	gweinidog goleuo'r cyhoedd a phropaganda
minister's account	cyfrif swyddwr
minister's account	cyfrif swyddwr
ministerial	gweinidogaethol
ministration	cymorth
ministry	gweinidogaeth
ministry	gweinidogaeth
ministry	gweinyddiaeth
ministry	gweinyddiaeth
ministry	offeiriadaeth
ministry	offeiriadaeth
mink	minc
minnow	sildyn
minor	dibwys
minor	llai
minor	lleddf
minor	lleiaf
minor	lleiaf
minor	minor
minor	plentyn dan oed
minor	plentyn dan oed
minor	tirio
minor abrasion	mân sgriffiad
minor ailments	mân anhwylderau
minor axis	echel leiaf
minor axis	echelin leiaf
minor chord	cord lleiaf
minor common chord	cord cyffredin lleiaf
minor condition	mân gyflwr
minor diameter	diamedr lleiaf
minor fold	plyg bychan
minor handicaps	mân anfanteision
minor illnesses	mân anhwylderau
minor injury	mân anaf
minor interval	cyfwng lleiaf
minor key	cywair lleiaf
minor key	lleddf gywair
minor order	urdd leiaf
minor order	urdd leiaf
minor road untarred and minor road in towns	isffordd heb dar ac isffordd mewn trefi
minor scale	graddfa leiaf
minor scale	graddfa leiaf
minor work	gwaith bychan
minority	lleiafrif
minority	lleiafrif
minority	lleiafrifol
minority audience	cynulleidfa leiafrifol
minority group	grŵp lleiafrifol
minority language	iaith leiafrifol
minority language	iaith leiafrifol
minority subject	pwnc lleiafrifol
minster	cadeirlan
minster	eglwys gadeiriol
minstrel	clerwr
minstrel	clerwr
minstrels' gallery	oriel y clerwyr
minstrelsy	clerwriaeth
minstrelsy	clerwriaeth
mint	bath
mint	bathdy
mint	bathdy
mint	bathu
mint	bathu
mint	mint
mint	mintys
mint par of exchange	pâr cyfnewid mint
mintage	bathdal
mintage	bathiad
minter	bathwr
minuend	minwend
minuend	minwend
minuet	miniwét
minuet	miniwét
minuet and trio	miniwét a thrio
minus	llai
minus	minws
minus	minws
minus	namyn
minus box	blwch minws
minus sign	arwydd minws
minus sign	arwydd minws
minuscule	llythrennau bach
minuscule	miniscwl
minute	bach
minute	bach iawn
minute	cofnod
minute	cofnod
minute	manwl
minute	munud
minute	munud
minute	mân
minute book	llyfr cofnodion
minute book	llyfr cofnodion
minute-timer	cloc munudau
minuteness	bychander
minuteness	manylrwydd
minutes template	templed cofnodion
minutes type	math o gofnodion
minx	hoeden
minx	mursen
miracidium	mirasidiwm
miracle	gwyrth
miracle	gwyrth
miracle play	drama firagl
miracle play	drama firagl
miraculous	gwyrthiol
mirage	lledrith
mirage	rhithlun
mirage	rhithlun
mire	baw
mire	llaca
mire	llaid
mire cramp	cramp meir
mirror	drych
mirror	drych
mirror	drychweddu
mirror archive	drych-archif
mirror canon	drychganon
mirror finish	gorffeniad drych
mirror fugue	ffiwg ddrych
mirror image	drych-ddelwedd
mirror image	drychddelwedd
mirror line	llinell ddrych
mirror plate	plât drych
mirror writing	drych-ysgrifennu
mirror-writing	drych-ysgrifen
mirrorsite	drych-safle
mirth	digrifiwch
mirth	hwyl
mirth	miri
mirthful	llawen
mirthful	llon
mirthless	digalon
mirthless	trist
miry	bawlyd
miry	lleidiog
misadventure	anffawd
misadventure	damwain
misanthropist	dyngasäwr
misanthropy	dyngasedd
misapply	camarfer
misapply	camddefnyddio
misapprehend	camddeall
misapprehension	camddealltwriaeth
misbehave	camymddwyn
misbehave	camymddwyn
misbehaviour	camymddygiad
misbelief	camgred
misbelieve	camgredu
miscalculate	camgyfrif
miscalculation	camgyfrifiad
miscarriage	erthyliad
miscarriage	erthyliad naturiol
miscarriage of justice	camwedd
miscarry	aflwyddo
miscarry	erthylu
miscarry	erthylu'n naturiol
miscast	camgastio
miscegenation	croeshilio
miscegenation	croeshilio
miscellaneous	amrywiol
miscellaneous options	dewisiadau amrywiol
miscellaneous symbols	symbolau amrywiol
miscellany	amrywiaeth
mischance	aflwydd
mischance	anffawd
mischief	direidi
mischief	direidi
mischief	drygioni
mischief rule	rheol drygioni
mischievous	direidus
mischievous	direidus
mischievous	drygionus
mischievousness	direidi
miscibility	cymysgadwyaeth
miscibility	cymysgadwyedd
miscible	cymysgadwy
miscible	cymysgadwy
miscible	cymysgedig
misconception	camsyniad
misconduct	camymddwyn
misconduct	camymddygiad
miscreant	adyn
miscreant	dihiryn
miscue analysis	dadansoddi'r camddarllen
misdeed	camwedd
misdemeanour	camwedd
misdemeanour	camymddygiad
misdescription	camddisgrifiad
misdirect	camgyfeirio
mise	meis
mise	meis
mise-en-scène	cywaith
miser	cybydd
miserable	gresynus
miserable	truenus
misericord	misericord
misericord	misericord
miserly	crintachlyd
miserly	cybyddlyd
misery	trallod
misery	trueni
misfit	misffit
misfit river	afon afrwydd
misfit river	afon fisffit
misfortune	aflwydd
misfortune	anffawd
misfortune	anlwc
misgiving	amheuaeth
misguide	camarwain
misguided	anghywir
misguided	camarweiniol
mishandle	cam-drin
mishap	anap
mishap	damwain
misinterpret	camddehongli
misinterpretation	camddehongliad
misjudge	camfarnu
mislay	camosod
mislay	camosod
mislead	camarwain
mislead	twyllo
misleading	camarweiniol
mismanage	camreoli
mismanagement	camreolaeth
mispare	cambaru
misplace	camosod
misplaced	o'i le
misprint	cam-brint
misprint	camargraffu
misprision	camweithred
misprision of felony	celu ffelwn
misread	camddarllen
misrepresent	camarwain
misrepresent	camliwio
misrepresentation	anwiredd
misrepresentation	camgyflead
misrepresentation	camliwiad
misrule	camlywodraeth
misrule	camreolaeth
misrule	camreoli
misrule	camreoli
miss	colli
miss	meth
miss	methu
miss	miss
missal	llyfr offeren
missal	llyfr offeren
missed entrance	mynediad hwyr
misshapen	afluniaidd
misshapen	di-lun
misshapen	di-lun
missile	saethyn
missile	taflegryn
missile	taflegryn
missile tip	treiddiwr taflegryn
missing	ar goll
missing	yn eisiau
missing children	plant sydd ar goll
missing component	cydran goll
missing element	elfen goll
missing person	person coll
missing tooth	dant ar goll
mission	cenhadaeth
mission statement	datganiad o genhadaeth
missionary	cenades
missionary	cenhadol
missionary	cenhadol
missionary	cenhadwr
missionary	cenhadwr
missive	llythyr swyddogol
misspell	camsillafu
misspend	gwastraffu
mist	niwl
mist	niwlen
mist	niwlio
mist	niwlio
mist	nudden
mist	tarth
mistake	camgymeriad
mistake	camgymeriad
mistake	camgymryd
mistake	camsyniad
mistake	gwall
mistaken	camsyniol
mistaken	cyfeiliornus
mister	meistr
mistletoe	uchelwydd
mistral	mistral
mistress	athrawes
mistress	meistres
mistress	meistres
mistrust	amau
mistrust	drwgdybio
mistrustful	amheus
mistrustful	drwgdybus
misty	aneglur
misty	niwlog
misunderstand	camddeall
misunderstanding	camddealltwriaeth
misuse	camddefnydd
misuse	camddefnydd
misuse	camddefnyddio
misuse	camddefnyddio
misuse of alcohol	camddefnyddio alcohol
misuse of data	camddefnyddio data
misuse of drugs	camddefnydd cyffuriau
mite	gwiddonyn
mite	gwiddonyn
mite	hatling
mite	mymryn
mite	pwt
mite	pwten
mitigate	lleddfu
mitigate	lliniaru
mitigating	lliniarol
mitigating circumstances	amgylchiadau lliniarol
mitochondrion	mitocondrion
mitochondrion	mitocondrion
mitosis	mitosis
mitosis	mitosis
mitotic	mitotig
mitotic	mitotig
mitotic index	indecs mitotig
mitral	meitral
mitral	mitral
mitral valve	falf feitrol
mitral valve	falf mitral
mitre	meitr
mitre	meitr
mitre	meitro
mitre	meitro
mitre	meitru
mitre block	bloc meitr
mitre block	blocyn meitro
mitre box	blwch meitro
mitre box	blwch meitro
mitre bridle	bagl meitr
mitre cramp	cramp meitr
mitre cramp	cramp meitr
mitre cramping	crampio meitr
mitre dovetail	meitr cynffonnog
mitre gauge	medrydd meitr
mitre joint	uniad meitr
mitre shooting board	bwrdd meitro
mitre shooting board	bwrdd plaenio meitr
mitre square	sgwaryn meitro
mitre square	sgwâr meitro
mitre template	patrymlun meitr
mitred	meitrog
mitred	meitrog
mitred bridle joint	uniad baglau meitrog
mitred corner	cornel feitrog
mitred corner	cornel wedi'i feitru
mitred dovetail bridle joint	uniad bagl cynffonnog meitrog
mitred dovetail joint	uniad cynffonnog meitrog
mitred dovetail joint	uniad cynffonnog meitrog
mitred halving joint	uniad haneru meitrog
mitred halving joint	uniad haneru meitrog
mitred joint	uniad meitrog
mitred tenon	tyno meitrog
mitten	maneg
mitten	mit
mitzvah	mitzvah
mix	cymysgiad
mix	cymysgu
mix	cymysgu
mix	toddi
mix and match	cyfun-cydwedd
mixed	cymysg
mixed	cymysg
mixed ability	gallu cymysg
mixed ability class	dosbarth gallu cymysg
mixed bread	bara amyd
mixed cereal bread	bara amyd
mixed design	cynllun cymysg
mixed dried fruits	ffrwythau sych cymysg
mixed economy	economi cymysg
mixed farm	fferm gymysg
mixed farming	ffarmio cymysg
mixed farming	ffermio cymysg
mixed feeding	bwydo cymysg
mixed grill	gril cymysg
mixed key	bragod gywair
mixed light	golau cymysg
mixed method	dull cymysg
mixed number	rhif cymysg
mixed number	rhif cymysg
mixed school	ysgol gymysg
mixed school	ysgol gymysg
mixed sex	rhyw cymysg
mixen	tomen
mixer	cymysgydd
mixing medium	cyfrwng cymysgu
mixing palette	palet cymysgu
mixing tray	hambwrdd cymysgu
mixing tray	hambwrdd cymysgu
mixture	cymysgedd
mixture	cymysgedd
mixture stop	stop cymysg
mizzen	hwyl ôl
mizzen mast	hwylbren canol
mnemonic	cofrif
mnemonic	cofrif
mnemonic operation code	cod gweithredu cofrif
mnemonic operation code	cod gweithredu cofrif
mnemonic system	system mnemonig
mnemonics	cofyddiaeth
moan	cwynfan
moan	cwyno
moan	griddfan
moat	ffos
moat	ffos
mob	torf
mob	tyrfa
mob	ymosod
mobile	mudol
mobile	symudol
mobile	symudol
mobile	symudyn
mobile	symudyn
mobile	teithiol
mobile classroom	ystafell ddosbarth symudol
mobile clinic	clinig mudol
mobile clinic	clinig teithiol
mobile clinic	clinig teithiol
mobile home	cartref symudol
mobile home	cartref teithiol
mobile learning	dysgu symudol
mobile library	llyfrgell deithiol
mobile library	llyfrgell deithiol
mobile phone	ffôn symudol
mobile phone	ffôn symudol
mobile phone	symudol
mobile phone card	cerdyn ffôn symudol
mobile play units	uned chwarae teithiol
mobile shop	siop ar glud
mobile shop	siop deithiol
mobile shop	siop deithiol
mobile shop	siop symudol
mobiles	symudyn
mobilistic	mobilistig
mobility	mudoledd
mobility	symudedd
mobility	symudedd
mobility	symudoledd
mobility allowance	lwfans mudoledd
mobility and flexibility	symudedd a hyblygrwydd
mobility of labour	mudoledd llafur
mobilization	byddiniad
mobilize	byddino
mobilize	dygyfor
mobilize	lluyddu
mobilize	ymfyddino
mobilizing movement	symudiad llacio
moccasin	mocasin
mock	gwatwar
mock	gwawdio
mock examination	ffug arholiad
mock-up	brasfodel
mocker	gwatwarwr
mocker	gwawdiwr
mockery	dirmyg
mockery	gwawd
mocking	gwatwarus
mocking	gwawdus
mod	mod
mod	modern
modal	moddol
modal	moddol
modal class	dosbarth modd
modalism	moddolaeth
modality	moddolrwydd
mode	dull
mode	modd
mode	modd
mode of address	dull cyfarch
mode of durations and intensities	modd gwerth hyd a dwyster
model	llunio
model	model
model	model
model	modelu
model	modelu
model of nursing	model nyrsio
model town	tref fodel
model town	tref fodel
modelling	modelu
modelling	modelu
modelling assumption	tybiaeth fodelu
modelling board	bwrdd modelu
modelling board	bwrdd modelu
modelling cement	sment modelu
modelling clay	clai modelu
modelling compound	cyfansoddyn modelu
modelling material	defnydd modelu
modelling stand	stand modelu
modelling tools	offer modelu
modelling wax	cwyr modelu
modelling wheel	olwyn fodelu
modem	modem
modem	modem
moderate	canolig
moderate	canolig
moderate	cymedrol
moderate	cymedrol
moderate	cymedroli
moderate	cymedroli
moderate	safoni
moderate breeze	awel gymedrol
moderate breeze	awel gymedrol
moderate learning difficulty	anhawster dysgu canolig
moderate rainfall	glawiad cymedrol
moderate rainfall	glawiad cymedrol
moderated mailing list	rhestr drafod gyda chymedrolwr
moderation	cymedroldeb
moderation	safoni
moderation committee	pwyllgor safoni
moderation meeting	cyfarfod safoni
moderator	cymedrolwr
moderator	cymedrolwr
moderator	cymedrolydd
moderator	cymedrolydd
moderator	llywydd
moderator	safonwr
modern	diweddar
modern	modern
modern	modern
modern beliefs	credo fodern
modern construction	adeiladwaith cyfoes
modern educational dance	dawns addysgol modern
modern educational dance	dawnsio addysgol modern
modern foreign language	iaith dramor fodern
modern history	hanes modern
modern language	iaith fodern
modern rondo	rondo modern
modern song	cân fodern
modernism	moderniaeth
modernization	moderneiddiad
modernize	moderneiddio
modernize	moderneiddio
modest	diymhongar
modest	gwylaidd
modesty	gwyleidd-dra
modicum	tipyn
modicum	ychydig
modification	addasiad
modification	addasiad
modification	cyfaddasiad
modification	newidiad
modified	addasedig
modified	adnewidiadol
modified	wedi'i addasu
modified	wedi'i haddasu
modified version	fersiwn a addaswyd
modifier	addasydd
modify	addasu
modify	addasu
modify	adnewid
modify	cyfaddasu
modify	goleddfu
modify cell	addasu cell
modify colour depth	addasu dyfnder lliw
modify curve smoothing	addasu llyfnhau cromlin
modify data range	addasu ystod data
modify field	addasu maes
modillion	braced
modillion	modiliwn
modular	modiwlaidd
modular	modwlar
modular arithmetic	rhifyddeg fodiwlaidd
modular course	cwrs modiwlaidd
modular programme	rhaglen fodiwlaidd
modular programming	rhaglennu modiwlaidd
modular programming	rhaglennu modwlar
modular scheme	cynllun modiwlaidd
modularity	modiwlaeth
modularize	modiwleiddio
modulate	addasu
modulate	cyfaddasu
modulate	cyweirio
modulate	goslefu
modulate	goslefu
modulate	modiwleiddio
modulate	modylu
modulate	trawsgyweirio
modulate	trawsgyweirio
modulated	modyledig
modulated	modyledig
modulated carrier wave	ton gario wedi’i modylu
modulation	modyliad
modulation	modyliad
modulation	trawsgyweiriad
modulation	trawsgyweiriad
modulator	cyweiriadur
modulator	cyweiriadur
modulator	modylydd
modulator	modylydd
module	modiwl
module	modiwl
module	modwl
modulo	modwlo
modulus	modwlws
modulus	modwlws
modulus of elasticity	modwlws elastigedd
mogul	mogwl
mohair	moher
moiety	cyfran
moiety	hanner
moiety	rhan
moist	llaith
moist	llaith
moisten	lleithio
moisture	lleithder
moisture	lleithder
moisture	lleithedd
moisture content	cynnwys lleithder
moisture content	cynnwys lleithder
moisture expansion	ymlediad lleithder
moisturize	lleithio
moisturizer	lleithydd
moksha / moksa	moksha / moksa
mol dm-3	môl dm-3
molal	molal
molality	molaledd
molar	cilddant
molar	cilddant
molar	dant malu
molar	molar
molar	molar
molar mass	màs molar
molar ratio	cymhareb folar
molar volume	cyfaint molar
molarity	molaredd
molasses	triagl
mole	gwadd
mole	gwahadden
mole	gwahadden
mole	man geni
mole	morglawdd
mole	môl
mole	môl
mole	twrch daear
mole	twrch daear
mole wrench	tyndro hunanafael
mole-catcher	gwaddotwr
mole-catcher	tyrchwr
molecular	moleciwlaidd
molecular	molecwlar
molecular	molecylig
molecular chaos	caos moleciwlaidd
molecular formula	fformiwla foleciwlaidd
molecular mass	màs moleciwlaidd
molecular structure	adeiledd moleciwlaidd
molecular weight	pwysau molecylig
molecularity	moleciwledd
molecule	moleciwl
molecule	molecwl
molehill	pridd y wadd
moleskin	croen gwadd
molest	aflonyddu
molest	molestu
molestation	ymosodiad
molinia	gwellt y gweunydd
mollify	meddalu
mollify	tawelu
mollusc	molwsg
mollusc	molwsg
molly-coddle	maldodi
molten	tawdd
molten	tawdd
molten	toddedig
molten iron	haearn tawdd
molten lava	lafa tawdd
molten metal	metel tawdd
molten salts	halwynau tawdd
molybdate(VI) ion	ïon molybdad(VI)
molybdenum	molybdenwm
moment	eiliad
moment	ennyd
moment	moment
moment	moment
moment of inertia	moment inertia
moment of inertia	moment inertia
moment of momentum	moment momentwm
momentary	byrhoedlog
momentary	dros dro
momentary	enydol
momentous	pwysig iawn
momentum	momentwm
momentum	momentwm
monad	monad
monadelphous	monadelffaidd
monadnock	monadnoc
monadnock	monadnoc
monamine oxidase inhibitor (MAOIs)	atalydd monoamin ocsidas
monarch	brenhines
monarch	brenin
monarch	brenin
monarch	glöyn y llaethlys
