english welsh
fizz sïo
imposition trefn
sneak llechian
hood cwfl
tenable daliadwy
straight syth
melodrama melodrama
unrighteousness anghyfiawnder
salutary llesol
initial dechreuol
mound crugyn
whine cwynfan
emission lledaeniad
contralto contralto
incorrupt anllygredig
pizza pitsa
hallelujah haleliwia
acknowledgement cydnabyddiaeth
goblet ffiol
senior uwch
glare llacharedd
employable cyflogadwy
distinct eglur
keen brwd
consecrate cysegru
discourtesy anghwrteisi
inarticulate aneglur
unhallowed llwgr
accustom cynefino
which a
lamina lamina
clergyman offeiriad
slime llwtra
osmosis osmosis
lighthouse goleudy
perimeter perimedr
sink sinc
soluble toddadwy
spurt hyrddiad
reprehend ceryddu
pedal pedal
extraneous estron
ascertainment gwybyddiad
row rheng
charitable elusengar
muster ymgynnull
elder ysgawen
mocker gwawdiwr
energy egni
continuity dilyniant
precept archebu
oxidize ocsideiddio
forceful egnïol
punitive cosbol
blanch hifio
diminish cywasgu
fit chwiw
inferior is
rejoicing llawenydd
crucial terfynol
touch cyffwrdd
aisle ystlys
reappear ailymddangos
brood epil
slide llithro
formality ffurfioldeb
amuse diddanu
mentorship mentoriaeth
flippancy ysmaldod
quintet pumawd
positiveness pendantrwydd
restore atgyweirio
introductory rhagarweiniol
smelly drewllyd
leisurely hamddenol
shred rhithyn
dept adran
orbital orbital
pallor gwelwedd
mince malu
diver deifar
mistress meistres
beseech ymbil
execute gweithredu
sign amnaid
flock diadell
mob ymosod
stable ystabl
mangle manglo
skilfulness medrusrwydd
overtime goramser
barium bariwm
length meithder
steak stêc
calend calan
spread taenu
bracken rhedynen
conscription consgripsiwn
utter yngan
concentric consentrig
contraband gwaharddedig
abbreviation byrfodd
snag rhwygo
cello sielo
staunch cywir
unearthly annaearol
door dôr
regression atchweliad
mobility mudoledd
inhospitable digroeso
sleepy swrth
pingo pingo
indefinite penagored
regal brenhinol
token taleb
congruous priodol
load llwyth
gravitational disgyrchol
devoted ymroddedig
electrician trydanwr
orgy gloddest
irrational anghymarebol
testamentary testamentaidd
consort cymar
essay traethawd
life oes
sincere didwyll
wideness lled
gross crynswth
disregard esgeulustra
him efe
flautist ffliwtydd
riser codwr
cyclic cylchol
recessive encil
heave gwthio
crinkle plyg
linguistic ieithyddol
palaver cleber
crisis argyfwng
fuss ffwdan
incapacitate analluogi
devilry diawledigrwydd
workman gweithiwr
command erchi
glassy gwydrog
abasement darostyngiad
ascertain canfod
spend hala
oracular oraclaidd
holdall ysgrepan
bick pig
doodling dwdlan
unitarian undodwr
reek mwg
torture arteithio
stocking hosan
famed enwog
splanchnic perfeddol
lie gorweddiad
materialist materolwr
stop llenwi
perspicacity craffter
case cyflwr
extempore byrfyfyr
inglorious gwaradwyddus
tillage amaethu
geniality hynawsedd
terrestrial daearol
ventriloquist tafleisiwr
enunciate cynanu
lout delff
heap twr
merit teilyngu
pellucid tryloyw
weigh pwyso
impropriety anwedduster
impotent analluog
acupuncture aciwbigo
peculiarity hynodrwydd
wither crino
commit traddodi
quadrant cwadrant
construction lluniad
stove cwcer
furl cau
glen glyn
privet gwyros
mycorrhiza mycorhisa
citric sitrig
operative gweithredydd
suzerain penarglwydd
esteem bri
helpmate cydymaith
oilstone hôn
palate blas
poignancy dwyster
just braidd
fleetness buander
prestigious mawreddog
impacted cywasgedig
paper papur
strike streicio
extraneous allanol
beneficent haelionus
sectional adrannol
execrable gwarthus
unsettled ansicr
cheeky eofn
discrimination didoli
point blaen
assiduous diwyd
connecting cysylltiol
languish dihoeni
swab glanhau
demeanour ymddygiad
puff pwff
amass casglu
twang sain
modulate goslefu
hundred cantref
reveller gloddestwr
physicist ffisegydd
rascal bredych
inexorable didostur
buffoon clown
champion pencampwraig
haze tarth
curtain llen
agistment porfelaeth
lodge porthdy
reclamation adenilliad
transaction trafod
flavouring cyflasyn
expected disgwyliedig
testimony tystiolaeth
committed ymrwymedig
heraldic herodrol
snowy eiraog
instructions cyfarwyddiadau
threaten bygwth
saltation neidiant
condolence cydymdeimlad
planter plannwr
malpractice camymddygiad
race hil
choreographer coreograffydd
astound synnu
reinstatement ailosodiad
situation sefyllfa
climate hinsawdd
inflammation enynfa
boy llanc
bun bynsen
appropriate meddiannu
orbit cylchdro
crier cyhoeddwr
oaken derw
steep trwytho
representation cynrychiolaeth
structure strwythur
yield cynnyrch
impression argraffiad
blame bai
antagonistic gwrthweithiol
ingenuity cywreinrwydd
patriarchal patriarchaidd
distinguished enwog
peel crafu
return dychweliad
federation ffederasiwn
unsound ansicr
active gweithredol
billow dygyfor
extra rhodiwr
primitive bore
drive tro
think synied
orthodox uniongred
build adeiladu
croft crofftio
combinatorial cyfuniadol
footing safle
tendentious pleidiol
bryophyte bryoffyt
missile taflegryn
solemnity defod
unpredictable annarogan
amok penwyllt
ostensible ymddangosiadol
credulous hygoelus
rewire ailweirio
chemical cemegolyn
wound briw
humiliation cywilydd
rusted rhydlyd
minter bathwr
map map
neuromuscular niwrogyhyrol
swell chwydd
bar rhwystr
hotchpotch cybolfa
borderland ffindir
conduct dargludo
insecticide pryfleiddiad
watch gwylio
proportional cymesur
exalt dyrchafu
dismiss diswyddo
sociable cymdeithasgar
woollen gwlanog
plating haen
poignancy awch
apprehend dirnad
nutate troelli
ant morgrugyn
incarnation ymgnawdoliad
sportive nwyfus
enthralling swynol
rising gwrthryfel
drive gyriant
dread arswyd
responsive ymatebol
double dyblyg
tuck plŷg
divination dewiniaeth
differentiated gwahaniaethol
decoy llith
antics campau
intimacy agosrwydd
baptistry bedyddfa
hirsute blewog
perish darfod
swipe taro
transmit trawsyrru
limp cloffni
bias rhagfarn
professionalization proffesiynoli
dig torri
explode ffrwydro
dell pant
country gwledig
scraper crafwr
assassination llofruddiaeth
nagging anynad
garret garet
gammon gamwn
sling gwregys
arithmetical rhifyddol
opportunism oportiwnistiaeth
unbiased diduedd
trousers llodrau
toy tegan
vacillate gwamalu
accede cytuno
immolate offrymu
barber barbwr
mail llythyrau
vase fâs
curl cwrlyn
equatorial cyhydeddol
preparation darpariaeth
snowdrop eirlys
site lleoliad
must llwydni
cucumber ciwcymer
owl gwdihŵ
plod llafurio
quoit coeten
seizure atafaeliad
tack tacio
explorer fforiwr
serif seriff
glide llithriad
sellotape selotep
blow ergyd
assassin bradlofrudd
coastline morlin
log boncyff
luminary goleuad
sting pigiad
spalt rhigol
nigh agos
presume rhagdybio
apathy difrawder
proprietorship perchenogaeth
daft dwl
silly ffôl
musty hen
durable cryf
stain staen
hypothermia hypothermia
govern rheoli
bandit ysbeiliwr
base seilio
component cydran
trite sathredig
necklace neclis
spot sbot
teal corhwyad
want eisiau
falter pallu
convalesce ymadfer
specimen sbesimen
gravy grefi
soma soma
reverse gwrthdroi
determinism penderfyniaeth
tailor teiliwr
stiffen atgyfnerthu
frontal ffrynt
wharf cei
thread trywydd
shiny gloyw
holster gwain
cuppa panad
trot trotian
apprehension amgyffred
loiter ymdroi
applicant ymgeisydd
nadir nadir
geodesy geodedd
quaintness hynodrwydd
vault seler
impasse cyfwng
yield cynhyrchu
inflict peri
sweet losinen
serene araul
cucumber ciwcymbr
fanatic ffanatig
janissary janisariad
theologian diwinydd
understand dallt
retake ailgydio
soot parddu
selenium seleniwm
theirs eiddynt
laundry golchdy
grass gwair
crusher malwr
clutch cydiwr
mince briwgig
attenuate gwanhau
dagger dagr
worry gofidio
toil llafur
gorge ceunant
potash potash
statement gosodiad
pronunciation ynganiad
endive endif
beget creu
erbium erbiwm
testament testament
retardation gohiriad
auditor archwiliwr
neurological niwrolegol
early boreol
unlearned annysgedig
baffle drysu
clockwise clocwedd
dismantle diosg
vicinity cyffiniau
turmoil cythrwfl
sheet dalen
byre beudy
twinkling chwinciad
drop cwympo
crack crac
image delw
spectre drychiolaeth
agist porfelu
spectacle drych
initiate hyfforddi
career gyrfa
escutcheon arfbais
advance echwyn
harrow llyfnu
carouser bolgi
concurrent cyfamserol
loin ystlys
huffy pwdlyd
prosopagnosia prosopagnosia
pasture pori
raging tymhestlog
coarseness gerwinder
unrelenting didostur
joint cyswllt
abbot abad
patent amlwg
frozen rhewedig
smirk cilwenu
fulgent disglair
unmitigated llwyr
footbridge pompren
locust locust
fault nam
attractive atyniadol
dune twyn
incline inclein
pattern patrymu
bathos disgynneb
distilled distyll
salaried cyflogedig
cycle beic
subscribe tanysgrifio
entwine cordeddu
note nodi
notched bylchog
equiangular hafalonglog
womanish merchetaidd
cobble cobl
abase darostwng
spine meingefn
mineralogy mwynoleg
thyroid thyroid
luck ffawd
perplex cythryblu
stretch ymestyn
ointment ennaint
lively hoyw
leak gollwng
recognition adnabyddiaeth
somewhere rywle
troupe mintai
semicolon gwahannod
frustration llesteiriant
danger enbydrwydd
crisp crasu
obligate anorfod
wrong anghywir
qualification cymhwyster
puritanism piwritaniaeth
subclass isddosbarth
workhouse wyrcws
millboard gludfwrdd
commentator sylwebydd
label labelu
schoolmistress ysgolfeistres
sieve hidlo
hewer torrwr
dough toes
delirium deliriwm
gangway eil
rational synhwyrol
threesome triawd
sanctuary gwarchodfa
statesman gwleidydd
uterus bru
tabulation tablu
sealer seliwr
collegiate colegol
bombard peledu
bamboo bambŵ
hospice llety
wet gwlychu
breed brid
reveal amlygu
pauper tlotyn
domain parth
hobby hobi
hen iâr
tangential tangiadol
importunity taerineb
delude twyllo
hassle trafferth
painful poenus
binary deuol
unsteady ansad
stink drewi
with efo
polygyny amlwreiciaeth
pit twll
crevasse hafn
impost treth
stint atal
serine serin
hide ymguddio
flume cafn
repository ystorfa
gift anrheg
unseat taflu
thrust gwanu
asset caffaeliad
breath anadl
ketchup cetshyp
realised cyflawnedig
invagination gweiniad
machinery peirianwaith
sheave rhwymo
justifiable cyfiawnadwy
gerrymander gerimandro
element elfen
debris malurion
captivity caethiwed
isolate arunigo
oblate penfflat
buffet ergydio
rumour swae
produce creu
jurisprudence cyfreitheg
dig pwnio
orgiastic afreolus
feed boliaid
application dyfalbarhad
recall atgofio
discrimination anffafriaeth
smart cyflym
cope copa
excommunication ysgymuniad
suffragan cynorthwyol
entry mynedfa
scepticism sgeptigaeth
vile ffiaidd
interested chwilfrydig
rigorous trwyadl
distress trallodi
query cwestiwn
wee bach
peak penllanw
ease lleddfu
degradation diraddiad
bricklayer briciwr
prognosis argoel
lobe llabed
extracellular allgellog
profile proffil
demeanour ymarweddiad
execution gweithrediad
nitrogenous nitrogenus
paella paëla
affect affaith
dispassionate tawel
procreative cenhedlol
master prif
print argraffiad
periodical cyfnodol
present rhodd
agitator cynhyrfwr
stereotype ystrydebu
froth ffroth
evaporate anweddu
covalent cofalent
exploit ecsbloetio
evacuate gwagio
giant cawraidd
coated haenedig
somewhat rhywbeth
mitigating lliniarol
underfloor tanlawr
simulated ffug
thrust gwthiad
pawn gwystlo
timely amserol
analytic analytig
further hyrwyddo
oily seimlyd
histogram histogram
decadence dirywiad
elongated hirgul
set machlud
transgress troseddu
analogy cydweddiad
gust chwythwm
ever byth
bold hy
enter cofnodi
reluctant amharod
combine cyfuno
wizardry dewiniaeth
prod procio
literal gwall
unruffled tawel
salient ymwthiad
bouncer dryswr
constituent etholwr
nard nard
defame difenwi
start cychwyn
clavichord claficord
watch oriawr
slam clepian
oligarchy oligarchiaeth
authoritative awdurdodol
misprint camargraffu
sweetbread cefndedyn
loudspeaker uchelseinydd
tie clymu
spurt ffrydio
till tan
classify dosbarthu
ruled llinellog
finding darganfyddiad
centre canolbwynt
accessor aseswr
rudder llyw
lass geneth
distinctness amlygrwydd
apology diffyniad
geology daeareg
hedge sietyn
term cyfnod
ghastly erchyll
negligent esgeulus
placeman swyddog
tutor dysgu
palaver baldordd
settle talu
abominable atgas
frank didwyll
settee setl
tune alaw
snap snap
thistle ysgallen
pyre coelcerth
octave wythfed
foreword rhaglith
vomit chwydu
adult oedolyn
rafter ceibren
instep mwnwgl
allocate clustnodi
drawer lluniwr
overcast cymylu
interact rhyngweithio
attestation tystiolaeth
effect achosi
republican gweriniaethwr
joke cellwair
stage ffurf
chlorophyll cloroffyl
overview trosolwg
overflowing llifeiriol
splash tasgu
grief galar
profanity cabledd
grandchild wyres
uprightness gonestrwydd
knowledge gwybodaeth
infidelity anffyddlondeb
accomplice affeithiwr
foothold troedle
bold amlwg
tournament twrneimant
physician meddyg
metonym trawsenw
deliverance ymwared
hilt carn
reviver tonig
thieve lladrata
sitting eisteddiad
verbal berfol
vow diofryd
congenial cydnaws
resourceful medrus
mime meimio
parallelism cyffelybiaeth
panegyric molawd
yoke ieuo
intrusion ymyrraeth
pair cyplu
crumpled crychlyd
properties dodrefn
top copa
convicted euogfarnedig
remote anghysbell
bored diflas
scrotum sgrotwm
felicity dedwyddyd
familiar cynefin
dilute gwanedu
earth claddu
fast tyn
depute dirprwyo
carnation cigliw
thine eiddot
sow gwasgaru
entry treiddiad
provide paratoi
winding troellog
grimness llymder
trace arlliw
dissuade anghymell
strap tres
incorporate corffori
palate taflod
bottomless diwaelod
for tros
wavelet tonnell
energize symbylu
tedious diflas
model llunio
beam pelydryn
nurture magwraeth
sterile hysb
entrance mynediad
ingenious medrus
expurgate puro
mope delwi
sick gwael
dome entrych
fanciful ffansïol
international rhyngwladol
inimical gelynol
domination awdurdod
therapist therapydd
kerosene cerosin
proofing diddosi
lap llepian
rendering trosiad
subsequent dilynol
seducer hudwr
holy sanctaidd
reclaim adennill
mosaic mosaig
dispensation trwydded
rinse lliwiad
ring diasbedain
whole cwbl
tonsil tonsil
vitalize bywiogi
groat grôt
altar allor
elated gorawenus
analogous cydweddol
senility henaint
trinket tegan
seemly addas
torpor syrthni
inimitable dihafal
transparency sleid
planetary planedol
fourth pedwaredd
elopement ffoad
swathe amrwymo
idiocy gwiriondeb
shoot blaguro
need angen
assemblage casgliad
unpick dadlwytho
duopoly deuopoli
gruff swta
fathomless annirnadwy
meed tâl
motherly mamol
sunburnt cras
kindness caredigrwydd
knowable adnabyddadwy
disown gwadu
dotage henaint
direction cyfarwyddyd
strata haenau
inauspicious anaddawol
prior blaenorol
side ystlys
draftsman drafftsmon
leek cenhinen
rabbit cwningen
dislocation dadleoliad
sanctify cysegru
imbrue mwydo
gleaner lloffwr
permission caniatâd
ironical eironig
tonsillitis tonsilitis
butter menyn
omen argoel
dread ofni
profits elw
acquit rhyddfarnu
vulture fwltur
fever twymyn
evoke gwysio
hydration hydradiad
arsenal arsenal
inhabitant preswylydd
form hwyl
disappointment siomedigaeth
passive goddefol
portion rhan
deport allgludo
versatile amryddawn
accusative gwrthrychol
nodose clymog
lazy dioglyd
prompt anogwr
conversion cyfnewid
guide tywysydd
determination penderfyniad
domicile anheddle
unsaturated annirlawn
huntsman heliwr
meeting cyfarfyddiad
extravert allblyg
tatting tatio
wend ymlwybro
utilitarianism iwtilitariaeth
oblivious anghofus
legal cyfreithiol
state dweud
egoistic egöistig
pox brech
pumpkin pwmpen
extremity cyfyngder
oesophagus oesoffagws
paste pastio
no nad
comely teg
gallant cwrtais
danger perygl
chink hollt
convertible trosadwy
disclose datgelu
corset staes
upstairs llofft
draw llunio
unfitting amhriodol
tag tag
imminence agosrwydd
resettle ailgyfanheddu
slap slap
him ef
arm cainc
horrible erchyll
rule rheol
bounteous haelionus
jolt ysgytio
loathe casáu
postpone oedi
renaissance dadeni
bowel perfeddyn
hoax pranc
lurk llechu
caviar cafiâr
impale trywanu
idolize addoli
artiste cantor
titanic anferth
substance sylwedd
laugh chwerthiniad
orthography orgraff
namely sef
craft llong
clockmaker clociwr
bagpipe pibgod
interviewee atebwr
cesspool carthbwll
milieu cefndir
generality cyffredinolrwydd
lint lint
shire sir
innovation cyfnewidiad
nudist noethlymunwr
marauder anrheithiwr
environmentalist amgylcheddwr
gift dawn
statuesque digyffro
nitrous nitraidd
unambiguous diamwys
devastate diffeithio
anchorite meudwy
midriff llengig
diversion dargyfeiriad
marquess ardalydd
lagged oediog
upheaval cyffro
uncivil anfoesgar
outpour llif
top wyneb
anterior cyn
flavour blas
ergonomics ergonomeg
hansom cab
publican tafarnwr
offend tramgwyddo
scriptural ysgrythurol
continuity dilyniad
temperate tymherus
prate brygowthan
hymen hymen
vibraphone fibraffon
deposit dyddodyn
unconscious anymwybodol
chop torri
untidy anniben
gross braisg
annoy blino
ardour aidd
satiate diwallu
shade arlliw
for oherwydd
monkish mynachaidd
patch llain
curb atalfa
murk tywyllwch
octavo wythblyg
faddy mympwyol
arouse cyffroi
skeleton braslun
enterprising mentrus
birth genedigaeth
beverage diod
drive dreifio
decoy denu
sag pantio
cadmium cadmiwm
rate cyfradd
violate torri
whet hogi
insuperable anorchfygol
shelter lloches
phraseology mynegiant
bureaucracy biwrocratiaeth
lizard madfall
deter atal
feed bwyta
ferment cynhyrfu
crochet crosio
requisite angenrheidiol
fungicide ffwngleiddiad
inveterate hen
grandmother nain
legerdemain consuriaeth
excessive eithafol
charged gwefredig
impact trawiad
contrivance dyfais
quicken bywiogi
fly pryf
tot adio
reflate atchwyddo
traffic trafnidiaeth
expansive eang
grade gradd
abatement diddymiad
become dyfod
perfectionist perffeithydd
offensive cyfoglyd
bore bôr
orchestrator sgoriwr
chase naddu
orangery orendy
submerged suddedig
black du
perfuse taenellu
syntactical cystrawennol
letterpress print
maltreatment camdriniaeth
toast tostio
torrid cras
cottage bwthyn
jam gwthio
redirect ailgyfeirio
hew torri
aid cynhorthwy
wed priodi
array trefn
retain cadw
run rhediad
copulative cypladol
optative erfyniol
brutal creulon
low beichio
pray gweddïo
twain dau
bracket bach
inward perfeddyn
remnant gwarged
separates amrywion
unpopular amhoblogaidd
guanine gwanin
culture meithriniad
stupid hurt
wretchedness trueni
theoretical damcaniaethol
individuality unigolrwydd
cleanser glanweithydd
agreeable hyfryd
cancel dileu
schism rhwyg
remove diddymu
disputable gwadadwy
ammonia amonia
oxide ocsid
cant goleddu
admissible derbyniadwy
bishop esgob
progeny disgynyddion
free rhyddhau
judiciary barnwriaeth
schoolhouse ysgoldy
intolerant anoddefgar
guarantee gwarantu
ridge cribyn
inveigle hudo
etcher ysgythrwr
flog chwipio
handwriting llawysgrifen
cleanliness glendid
sill silff
desire dymuniad
indent mewnoliad
recreative adloniadol
limb cangen
inefficiency aneffeithlonrwydd
haughty ffroenuchel
festal llon
camphor camffor
intruder ymwthiwr
bendability plygiant
transfer trosglwyddiad
refrigerant rhewydd
trypsin trypsin
bellicose ymladdgar
nightfall hwyr
entrails perfeddion
revise ailwampio
souse piclo
important pwysig
ulterior dirgel
dignify urddasoli
benefit elw
peninsula penrhyn
knurl gwrym
opposed gwrthwynebol
tract llain
block rhwystro
bob hercian
injudicious annoeth
studies efrydiau
elaborated manwl
novice nofydd
lonely unig
voicing lleisio
experiment arbrawf
relentless didostur
fine dirwyo
lordship arglwyddiaeth
dizziness pendro
laminated laminedig
right iawn
range dewis
eyot ynysig
seediness anhwylder
prosper ffynnu
lay llyg
nob uchelwr
disapprove anghymeradwyo
weighty pwysig
approach dull
carton carton
severity llymder
coordinate cydgysylltu
blur brycheuyn
concede cydsynio
magnificent godidog
job gwaith
magnifier chwyddwydr
that a
osmotic osmotig
lamentation cwynfan
substitute dirprwyo
homeland mamwlad
lactic lactig
tantalizing profoclyd
forbear peidio
shortened cwta
over tros
waistcoat gwasgod
resort cyrchu
bramble miaren
discernment craffter
repeated niferus
shear croeswasgiad
bay gwinau
solvent diddyled
joy llawenydd
ludicrous chwerthinllyd
accuracy cywirdeb
insidious llechwraidd
thin cul
fleck britho
drive gyrru
shade mymryn
retrospect adolwg
chemist cemegwr
disintegration maluriad
doodle dwdlan
violence trais
alert effro
swing siglad
thrilling gwefreiddiol
diminutive bachigyn
cudgel ffon
fertilisation ffrwythloniad
shade arlliwio
guard gard
fashion ffasiwn
patter cleber
imprecation melltith
separate ymrannu
supermarket uwchfarchnad
stars sêr
aloofness oerni
purulent gorllyd
unified unedig
nod pendwmpian
adorn addurno
nincompoop ffŵl
tailpiece cynffon
lamentable galarus
progress cynnydd
staircase staer
fullness cyflawnder
graduation graddio
freeze rhewi
porous hydraidd
odium cas
masking masgio
exertion ymroddiad
kelvin celfin
diligent dyfal
maladminister camweinyddu
misrepresent camarwain
telegraphic telegraffig
footwear esgidiau
landscape tirlun
pluvial glawog
swindler twyllwr
consistory consistori
revolting atgas
hollow cafn
grotesque od
capital cyfalaf
coat haen
menu dewislen
brief cryno
slip slipio
drink yfed
steadiness sadrwydd
aerobic aerobig
curve crymu
tyrannical gormesol
smack clecian
keen craff
bedfellow cywely
pathology patholeg
extraction llinach
dipthong deusain
suspicious amheus
chief pennaeth
spanner sbaner
scanner sganiwr
satire gogan
maize indrawn
abrupt cwta
perhaps hwyrach
traitor bradychwr
inflexible diwyro
artful cyfrwys
extravagance gwastraff
unwind datod
abrogate dileu
maid morwyn
upright unionsyth
airforce awyrlu
omnivorous hollysol
nutation troelliad
pathologist patholegydd
assume tybio
vilify difenwi
foxy cyfrwys
vertigo pendro
worshipful parchedig
torrential llifeiriol
boot cicio
abdication ymddiorseddiad
lectionary llithiadur
recompose ailgyfansoddi
polish caboli
algebraic algebraidd
spinney coedwig
presbyter presbyter
thick tew
protrusion allwthiad
alluring hudolus
batch crasiad
distasteful diflas
motherhood mamolaeth
installation sefydliad
jejune diffrwyth
vacant gwag
joint asiad
menial gwasaidd
farcical chwerthinllyd
refusal nacâd
notebook nodiadur
find canfod
cheat twyll
highland ucheldir
apocalypse apocalyps
squabble cweryla
guide llywio
kite beri
picture pictiwr
spume ewyn
thrust gwaniad
polymorphism amryffurfedd
cardinal cardinal
sluice llifddor
tone tôn
reasoning ymresymiad
apathetic didaro
levant lefant
accost annerch
serviceable defnyddiol
reveal dangos
chaos anhrefn
former blaenorol
psychoanalyze seicdreiddio
jamming cloi
endorse ardystio
kindred perthynas
compressive cywasgol
liqueur gwirodlyn
internationalise rhyngwladoli
fasten sicrhau
hydrodynamics hydrodynameg
pink pinc
unbeliever anghredadun
occurrence digwyddiad
stagnate cronni
now bellach
representative cynrychiolaidd
monatomic monatomig
theory theori
attribution athreuliad
plucky gwrol
internalization mewnoli
muggy mwll
impregnation ffrwythloniad
flat fflatio
outlay gwariant
emanate deillio
minster cadeirlan
dozen dwsin
creativity creadigedd
cry wylo
train gosgordd
slave llafurio
abstainer ymwrthodwr
fulminate bygwth
breakwater morglawdd
kitchen cegin
lifelike byw
cratch rhesel
mow torri
birch bedwen
lament galarnad
colourant lliwydd
puerility plentyneiddiwch
tiresome blinderus
pronoun rhagenw
questionable amheus
claustrophobia clawstroffobia
overall cyflawn
ambiguous astrus
statuary cerflunydd
deletion dilead
woollen gwlân
glossy sgleiniog
bantam bantam
patronize noddi
comprehensibility eglurder
contagious heintus
walk rhodio
enshrine cadw
headline pennawd
untwist datod
finical cysetlyd
activist actifydd
keyboard allweddell
tyrosine tyrosin
disassemble dadosod
chest dwyfron
regenerate atgynhyrchu
contact cysylltu
recreation adloniant
astonish syfrdanu
defendant diffynnydd
termagant cas
intranet mewnrwyd
craftsman crefftwr
placard hysbyslen
groan ochneidio
pledge addo
genealogy achyddiaeth
specificity penodolrwydd
supersede disodli
smoothness llyfnder
mite mymryn
propriety priodoldeb
translate cyfieithu
compendious cryno
chalet chalet
adaptable cymwysadwy
ye chwychwi
dialogue deialog
monster clobyn
customs tollfa
unwise ffôl
eager awyddus
spinach pigoglys
superimpose arosod
relief cerfwedd
primeval cyntefig
winner enillydd
decoder dehonglwr
webbed gweog
unacceptable annerbyniol
antonym gwrthwynebair
infirmary clafdy
precinct cyffin
map mapio
ebullition berw
vanguard blaengad
topographical topograffaidd
misguided camarweiniol
sandy tywodlyd
ewe dafad
silent mud
collage gludwaith
loving cariadus
instrumentality cymorth
circumstantial amgylchiadol
enslave caethiwo
obscure aneglur
conqueror gorchfygwr
perfume persawru
thrill gwefreiddio
festive llon
motivation cymhelliant
pronounce datgan
outrageous gwarthus
bast plisgyn
irradiate tywynnu
mull mwl
likeable hoffus
let gadael
zone rhanbarth
indeterminism amhenderfyniaeth
farrier ffarier
curtsy cyrtsi
overt eglur
peel pil
abstain ymwrthod
agent cynrychiolydd
flimsiness simsanrwydd
jingoism jingoistiaeth
dedicate cyflwyno
tact tact
square maes
act deddf
shrink crebachu
displeasure anfodlonrwydd
pry busnesa
beat curo
soya soia
misdemeanour camymddygiad
dictum datganiad
mobile symudol
deception dichell
asthma asma
buy pwrcasu
chamber swyddfa
piece llain
dyne dein
bracing ffres
allegro hoenus
independent annibynnwr
soggy soeglyd
utilize defnyddio
trust gofal
fermium ffermiwm
this hwn
invoicing anfonebu
futuristic dyfodolaidd
shapely lluniaidd
biophysics bioffiseg
waste nychu
armour arfwisg
journal cylchgrawn
live oesi
floodgate llifddor
overbearing gormesol
cellarium seler
stated penodedig
beautiful prydferth
launderette golchfa
television teledu
sallow llwyd
stand stand
diagnostics diagnosteg
palate archwaeth
once gynt
explore fforio
squall hyrddwynt
shade rhywfaint
spot llecyn
pasteurize pasteureiddio
antinomianism antinomiaeth
drain draen
prudential cynghorus
appease dyhuddo
perform perfformio
ancestry llinach
stipple dotweithio
pacifier heddychwr
misapprehend camddeall
crucial hanfodol
rosy gwridog
replica replica
grit grut
bid bidio
consignment llwyth
tilt gwyriad
illustration eglureb
unaccustomed anghyfarwydd
idiotic ynfyd
vehicle cyfrwng
suppression ataliad
thrash curo
emanate tarddu
storage stôr
militarism militariaeth
debar lluddias
tough caled
noodle nwdl
actinium actiniwm
hopper cynhwysydd
gay llon
essential anhepgor
accrue deillio
brisk bywiog
voice lleisio
disappearance diflaniad
nonsensical dwl
index mynegeio
close mwll
mite pwt
vicious drygionus
farmyard ffald
carrier cludwr
stage cyfnod
immolate aberthu
groove rhigoli
grub lindysyn
tug plwc
victory buddugoliaeth
present presennol
unceasing diddiwedd
blog blogio
portcullis porthcwlis
supply cyflenwi
identity hunaniaeth
widgeon chwiw
repertoire stoc
hummock twyn
trumpery ffwlbri
cad dihiryn
practitioner meddyg
grasp amgyffred
navvy nafi
extol mawrygu
impress argraffu
rap curiad
necklace cadwyn
superposition arosodiad
flame fflam
find darganfyddiad
cirrhosis sirosis
constriction tyndra
badminton badminton
indicator mesurydd
imbalance anghydbwysedd
appoint penodi
cant goleddfu
height uchder
undersign llofnodi
nipper crwt
unfit anystwyth
smarmy sebonllyd
hamper basged
iteration iteriad
test prawf
ember marworyn
paediatric pediatrig
fastness buander
gut coludd
nuisance poendod
age einioes
gristle gïau
periodical cyfnodolyn
pliers gefel
aboriginal cynfrodorol
craftsmanship crefftwriaeth
raw crai
back cefnogi
bondsman taeog
subconsciousness isymwybod
expert medrus
purist purydd
diverse amrywiol
pompous rhwysgfawr
desecrate halogi
wrong cam
slang slang
generate cenhedlu
join uniad
infirmity llesgedd
metacarpal metacarpal
sure siwr
penis gwialen
deglutition llyncu
savagery creulondeb
lover carwr
crib cyfieithiad
developing datblygol
uphold cynnal
surf brigdonni
convoke gwysio
shout gwaedd
multipurpose amlbwrpas
cystic cystig
camouflage dieithrio
tidy twt
explosive ffrwydryn
kiss cusan
stabilization sefydlogrwydd
rebuttable gwrthbrofadwy
echo adlef
termination terfyniad
sightless tywyll
capture cipio
offset atred
ambulatory rhodfa
joviality digrifwch
priming preimio
choke tagu
pate copa
sup llymeitian
administer gweini
nylon neilon
quilt cwilt
linnet llinos
complete cwblhau
impregnate trwytho
deceleration arafiad
obstruction atalfa
guileless didwyll
radical gwreiddyn
illustration darlun
inquiry ymholiad
hind gwas
heap pentwr
oestrogen estrogen
early cynnar
chasing siasio
repine anfodloni
forasmuch am
shindy terfysg
strike ergyd
inculpate cyhuddo
chisel cynio
fickleness anwadalwch
platinum platinwm
sport camp
consumer ysydd
haply efallai
stinging llym
weep crio
wheedle denu
use arfer
side wyneb
scroll rhôl
enlarger chwyddwr
photocopy llungopi
rococo rococo
