word1,word2,POS,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex)
benthyg,cardota,V,2.62,3.1,2.96,2,1,1,1.89
cymryd,cael,V,7.1,3.06,3,2,0.9,1,1.01
cynhori,argymell,V,8.1,2.03,1.74,1,0.89,1,1.6
dynwared,portreadu,V,6.75,2.66,2.18,1,0.89,1,1.13
ennill,llwyddo,V,7.9,2.67,2.33,1,0.89,1,1.83
meddwl,penderfynu,V,5.13,2.41,1.92,1,0.88,1,1.4
cyfarch,cwrdd,V,6.17,2.96,3,2,0.83,1,1.73
cytuno,dadlau,V,0.77,2.31,2.75,1,0.81,1,1.68
mwynhau,adlonni,V,5.92,2.29,2.55,1,0.79,1,1.27
dinistrio,creu,V,1.6,3.08,2.67,2,0.78,1,1.72
arbed,amddiffyn,V,6.58,2.42,2.86,2,0.74,1,0.44
rhoi,benthyg,V,7.22,2.83,3.07,2,0.72,1,0.93
deall,gwybod,V,7.47,2.28,1.68,1,0.71,1,1.26
cymryd,derbyn,V,5.08,3.06,2.69,2,0.7,1,0.48
derbyn,cydnabod,V,6.88,3.03,2.03,1,0.69,1,1.63
penderfynu,dewis,V,8.87,1.92,2.62,1,0.67,1,1.26
derbyn,credu,V,6.75,3.03,1.55,1,0.67,1,1.61
cadw,perchen,V,8.27,2.37,2.6,1,0.62,1,0.8
crwydro,mynd and dro,V,8.83,2.85,2.28,1,0.61,1,0.89
llwyddo,methu,V,0.83,2.33,3,2,0.61,1,1.44
gwario,arbed,V,0.55,2.93,2.42,2,0.61,1,1.06
gadael,mynd,V,7.63,2.53,3.15,2,0.61,1,1.49
dod,mynychu,V,8.1,2.72,3.17,2,0.61,1,1.6
gwybod,credu,V,5.5,1.68,1.55,1,0.6,1,1.18
cynnull,cwrdd,V,7.3,2.75,3,2,0.55,1,0.59
gwneud,ennill,V,7.62,2.67,2.39,1,0.54,1,1.92
anghofio,anwybyddu,V,3.07,2.04,2.22,1,0.5,1,1.25
lluosi,adio,V,2.7,2.79,3,2,0.5,1,1.8
crebachu,tyfu,V,0.23,3.55,3.03,2,0.5,1,1.2
cyrraedd,gadael,V,1.33,3.22,2.53,2,0.49,1,1.48
llwyddo,ceisio,V,3.98,2.33,2.22,1,0.48,1,1.35
derbyn,gwadu,V,1.75,3.03,2.2,2,0.48,1,1.41
cyrraedd,dod,V,7.05,3.22,2.72,2,0.48,1,1.56
cytuno,amrywio,V,1.05,2.31,1.59,1,0.42,0,1.53
anfon,derbyn,V,1.08,2.7,2.69,2,0.42,0,1.53
ennill,dominyddu,V,5.68,2.67,2.12,1,0.41,0,1.74
adio,rhannu,V,2.3,3,2.86,2,0.41,0,1.25
lladd,tagu,V,4.92,3.9,3.97,3,0.41,0,1.48
caffael,cael,V,8.82,2.93,2.38,2,0.39,0,0.94
cyfranogi,ymuno,V,7.7,2.59,2.86,2,0.39,0,1.69
gadael,aros,V,2.53,2.53,1.96,1,0.34,0,1.36
mynd,mynd mewn,V,4,3.15,3.12,2,0.34,0,1.43
cymryd,cario,V,5.23,3.06,4.04,2,0.34,0,0.44
anghofio,dysgu,V,1.18,2.04,2.2,1,0.33,0,1.65
penodi,ethol,V,8.17,2.24,2.41,1,0.33,0,1.51
ymgysylltu,priodi,V,5.43,2.07,3.03,1,0.33,0,1.12
gofyn,gweddio,V,3.72,2.52,3.21,2,0.33,0,1.63
mynd,anfon,V,3.75,3.15,2.7,2,0.33,0,0.77
cymryd,cyflawni,V,4.37,3.06,3.12,2,0.33,0,1.16
siarad,clywed,V,3.02,3.7,3.66,2,0.33,0,0.76
dadansoddi,gwerthuso,V,8.03,2.3,1.85,1,0.28,0,0.49
dadlau,rhesymoli,V,4.2,2.75,1.52,1,0.28,0,1.21
colli,cadw,V,1.05,2.25,2.37,1,0.28,0,1.57
cymharu,dadansoddi,V,8.1,2.52,2.3,1,0.28,0,0.84
anhrefnu,trefnu,V,1.45,2.44,2.72,1,0.28,0,1.3
mynd,caniatáu,V,3.62,3.15,2.41,2,0.28,0,1.53
cymryd,perchen,V,7.2,3.06,2.6,2,0.28,0,1.14
dysgu,gwrando,V,3.88,2.2,3.47,2,0.28,0,1.65
dinistrio,creu,V,0.92,3.08,2.6,2,0.28,0,1.78
creu,adeiladu,V,8.48,2.62,3.71,2,0.28,0,1.14
dwyn,prynu,V,1.13,3.84,3.35,2,0.28,0,0.95
lladd,crogi,V,4.45,3.9,3.7,3,0.28,0,1.43
anghofio,gwybod,V,0.92,2.04,1.68,1,0.27,0,1.6
creu,dychmygu,V,5.13,2.62,1.53,1,0.27,0,1.7
gwneud,digwydd,V,4.23,2.46,1.78,1,0.27,0,1.02
ennill,cyflawni,V,7.85,2.67,2.33,1,0.27,0,0.8
rhoi,gwadu,V,1.43,2.83,2.2,1,0.27,0,1.36
haeddu,ennill,V,5.8,1.69,2.39,1,0.23,0,0.62
cael,rhoi,V,1.98,2.38,2.5,1,0.22,0,1.33
lleoli,canfod,V,8.73,2.97,2.63,2,0.22,0,1.54
ymddangos,mynychu,V,6.28,3.13,3.17,2,0.22,0,1.47
gwybod,deall,V,7.63,1.68,1.86,1,0.21,0,1.39
esgus,dychmygu,V,8.47,2.11,1.53,1,0.21,0,1.63
bodloni,pleasio,V,7.67,2.04,1.64,1,0.21,0,1.74
anwylo,cadw,V,4.85,1.73,2.37,1,0.21,0,1.78
dadlau,amrywio,V,5.15,2.75,1.59,1,0.21,0,1.22
meistroli,dominyddu,V,6.25,2.28,2.12,1,0.21,0,1.58
bihafio,ufuddhau,V,7.3,1.78,2.67,1,0.21,0,1.24
cydweithio,cyfranogi,V,6.43,1.87,2.59,1,0.21,0,1.5
cyflawni,ceisio,V,4.42,2.29,2.22,1,0.21,0,1.14
methu,digalonni,V,3.33,3,1.9,1,0.21,0,1.2
cychwyn,rhoi'r gorau,V,1.28,2.56,2.56,1,0.21,0,1.53
dweud,cyfranogi,V,3.82,2.58,2.59,1,0.21,0,1.3
dod,dod,V,2.42,2.72,2.55,2,0.21,0,1.03
datgan,cyhoeddi,V,9.08,2,3.31,2,0.21,0,1.56
darllen,deall,V,4.7,3.56,1.86,2,0.21,0,1.75
cymryd,gadael,V,2.47,3.06,2.53,2,0.21,0,0.8
datgan,cyhoeddi,V,8.18,2.36,3.31,2,0.21,0,1.58
caffael,cael,V,8.57,2.93,3,2,0.21,0,1.96
casglu,penderfynu,V,7.75,1.78,1.92,1,0.2,0,1.17
plesio,pledio,V,2.98,1.64,2.59,1,0.2,0,1.18
dadlau,profi,V,4.83,2.75,1.83,1,0.2,0,0.62
gofyn,pledio,V,6.47,2.52,2.59,1,0.2,0,1.62
canfod,diflannu,V,0.77,2.63,2.86,2,0.2,0,1.04
archwilio,archwilio,V,8.75,3.31,2.86,2,0.2,0,1.39
gwirio,cyfiawnhau,V,4.08,2.1,1.45,1,0.17,0,1.11
tybio,rhagfynegi,V,4.85,1.75,2,1,0.17,0,1.02
dysgu,gwerthuso,V,4.17,2.2,1.85,1,0.17,0,0.88
dadlau,cyfiawnhau,V,5,2.75,1.45,1,0.17,0,1.13
creu,mynd,V,4.77,2.67,1.54,1,0.17,0,0.82
darganfod,gwreiddio,V,4.83,2.37,2.23,1,0.17,0,1.33
cyflawni,llwyddo,V,7.5,2.29,2.33,1,0.17,0,1.29
rhoi,rhoi,V,3.65,2.83,2.5,2,0.17,0,1.47
deall,gwrando,V,4.68,2.28,3.47,2,0.17,0,1.66
ehangu,tyfu,V,8.27,3.36,3.03,2,0.17,0,1.28
benthyg,gwerthu,V,1.73,3.1,3.35,2,0.17,0,1.21
cadw,amddiffyn,V,5.4,2.37,2.86,2,0.15,0,1.26
esbonio,profi,V,4.1,1.97,1.83,1,0.14,0,1.29
tybio,esgus,V,3.72,1.75,2.11,1,0.14,0,1.15
cytuno,plesio,V,4.13,2.31,1.64,1,0.14,0,1.7
maddau,anghofio,V,3.92,1.92,2.04,1,0.14,0,1.5
egluro,esbonio,V,8.33,2.07,1.97,1,0.14,0,1.74
deall,maddau,V,4.87,2.28,1.92,1,0.14,0,1.32
atgoffa,anghofio,V,0.87,2.19,2.04,1,0.14,0,1.56
cael,aros,V,1.6,2.38,1.96,1,0.14,0,1.68
sylweddoli,darganfod,V,7.47,2.03,2.37,1,0.14,0,0.59
gofyn,ymholi,V,1.82,2.07,2.38,1,0.14,0,1.06
anwybyddu,gofyn,V,1.07,2.22,2.52,1,0.14,0,1.27
meddwl,ymholi,V,4.77,2.41,2.38,1,0.14,0,1.23
gwrthod,osgoi,V,4.78,2.4,2.41,1,0.14,0,1.36
dadlau,perswadio,V,6.23,2.75,2.07,1,0.14,0,1.7
dilyn,perswadio,V,3.17,2.83,2.07,1,0.14,0,1.39
derbyn,maddau,V,3.73,3.03,1.92,1,0.14,0,1.75
gwneud,rhoi'r gorau,V,1.17,2.46,2.56,1,0.14,0,1.81
ymchwilio,archwilio,V,8.1,2.27,2.86,1,0.14,0,1.31
trafod,esbonio,V,6.67,3.17,1.97,1,0.14,0,1.53
arno,benthyg,V,2.32,2.07,3.07,1,0.14,0,0.82
archwilio,darganfod,V,8.48,2.9,2.37,2,0.14,0,1.33
cwyno,dadlau,V,4.8,2.6,2.75,2,0.14,0,0.9
tynnu nôl,gwrthod,V,6.38,3.04,2.4,2,0.14,0,1.97
cadw,benthyg,V,2.25,2.37,3.1,2,0.14,0,1.29
cardota,gofyn,V,6,2.96,2.52,2,0.14,0,1.58
dosbarthu,trefnu,V,8.27,2.79,2.72,2,0.14,0,1.1
lleihau,crebachu,V,8.02,2,3.55,2,0.14,0,1.82
siarad,cydnabod,V,4.67,3.7,2.03,2,0.14,0,1.47
rhoi,benthyg,V,2.22,2.83,3.1,2,0.14,0,1.63
lladd,amddiffyn,V,2.63,3.9,2.31,2,0.14,0,0.85
diflannu,crebachu,V,5.8,2.86,3.55,2,0.14,0,1
cyflawni,cario,V,3.88,3.12,4.04,2,0.14,0,1.44
anadlu,tagu,V,1.37,4.07,3.97,3,0.14,0,2.02
cydnabod,hysbysebu,V,5.3,2.03,3.04,1,0.13,0,0.62
dod,ymddangos,V,2.63,1.54,1.75,1,0.11,0,1.79
esgus,ymddangos,V,4.68,2.11,1.75,1,0.11,0,1.63
cyflawni,dod,V,4,2.33,1.54,1,0.11,0,0.85
myfyrio,meddwl,V,8.82,1.71,2.41,1,0.11,0,1.59
penderfynu,rhagfynegi,V,5.8,2.13,2,1,0.11,0,1.37
plesio,adlonni,V,5,1.64,2.55,1,0.11,0,0.71
aros,cadw,V,5.75,1.96,2.32,1,0.11,0,1.12
esgus,portreadu,V,7.03,2.11,2.18,1,0.11,0,1.64
anghofio,cadw,V,0.63,2.04,2.32,1,0.11,0,1.68
eisiau,dewis,V,4.78,1.93,2.62,1,0.11,0,1.56
colli,cael,V,0.77,2.25,2.38,1,0.11,0,1.33
ceisio,meddwl,V,2.62,2.22,2.41,1,0.11,0,1.45
dod,ymddangos,V,4.77,1.54,3.13,1,0.11,0,1.51
gadael,anwybyddu,V,4.42,2.53,2.22,1,0.11,0,1.33
derbyn,argymell,V,2.75,3.03,1.74,1,0.11,0,1.01
gadael,crwydro,V,3.57,2.53,2.28,1,0.11,0,1.33
cadw,rhoi,V,1.05,2.37,2.83,2,0.11,0,1.03
rhoi,caniatáu,V,5.15,2.83,2.41,2,0.11,0,1.32
dod,anfon,V,2.97,2.55,2.7,2,0.11,0,0.88
amsugno,dysgu,V,5.48,3.11,2.2,2,0.11,0,1.16
caffael,canfod,V,6.38,2.93,2.63,2,0.11,0,1.74
gadael,ymddangos,V,0.97,2.53,3.13,2,0.11,0,1.45
creu,dinistrio,V,0.63,2.62,3.08,2,0.11,0,1.1
cychwyn,mynd,V,7.42,2.56,3.15,2,0.11,0,1.24
cael,prynu,V,5.08,2.38,3.35,2,0.11,0,1.02
casglu,arbed,V,6.67,3.34,2.42,2,0.11,0,0.44
amnewid,adfer,V,5.73,3,2.79,2,0.11,0,1.08
ymuno,adio,V,8.1,2.86,3,2,0.11,0,0.88
ymuno,priodi,V,5.35,2.86,3.03,2,0.11,0,1.41
derbyn,cyflawni,V,1.58,3.03,3.12,2,0.11,0,1.37
atodi,ymuno,V,7.75,3.33,2.86,2,0.11,0,0.94
gosod,hongian,V,3,2.5,3.7,2,0.11,0,1.49
mynd,gwerthu,V,0.97,3.15,3.35,2,0.11,0,0.9
cyfathrebu,gweddio,V,3.55,3.43,3.21,2,0.11,0,1.38
rhoi,dwyn,V,0.5,2.83,3.84,2,0.11,0,0.62
adio,adeiladu,V,4.92,3,3.71,2,0.11,0,1.1
dod,adfer,V,2.62,2.55,2.79,2,0.1,0,0.74
deall,bodloni,V,2.55,1.86,2.04,1,0,0,1
portreadu,penderfynu,V,1.18,2.18,1.92,1,0,0,1.37
trefnu,dod,V,1.77,2.72,1.54,1,0,0,1.86
rhoi,gwybod,V,0.88,2.83,1.68,1,0,0,1.12
dweud,gwirio,V,4.9,2.58,2.1,1,0,0,0.65
cydweithio,ymuno,V,5.18,1.87,2.86,1,0,0,0.36
trefnu,gofyn,V,0.98,2.79,2.07,1,0,0,1.72
benthyg,eisiau,V,1.77,3.1,1.93,1,0,0,1.22
archwilio,dilyn,V,7.15,2.27,2.83,1,0,0,0.56
anwybyddu,archwilio,V,0.4,2.22,2.9,1,0,0,1.19
dod,cwyno,V,0.98,2.55,2.6,1,0,0,1.57
mynd mewn,arno,V,0.68,3.12,2.07,1,0,0,1.67
portreadu,hysbysebu,V,0.78,2.18,3.04,2,0,0,1.17
atgoffa,gwerthu,V,0.4,2.19,3.35,2,0,0,1.61
amsugno,perchen,V,5,3.11,2.6,2,0,0,1.15
ymuno,caffael,V,2.85,2.86,2.93,2,0,0,0.99
anfon,mynychu,V,1.67,2.7,3.17,2,0,0,1.44
ymgynnell,mynychu,V,4.8,2.75,3.17,2,0,0,1.97
cynnull,withdraw,V,2.97,3.11,3.04,2,0,0,1.75
mynychu,cyrraedd,V,6.08,3.17,3.22,2,0,0,1.18
